,song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
5,Bring Me To Life,Evanescence,80,235893,0.00895,0.316,0.945,1.85e-06,4,0.396,-3.1689999999999996,0,0.124,189.93099999999998,4,0.32
12,Smooth Criminal,Alien Ant Farm,75,209266,0.00434,0.647,0.9640000000000001,0.0036,9,0.15,-4.225,0,0.06,126.94200000000001,4,0.875
15,Take Me Out,Franz Ferdinand,77,237026,0.00042300000000000004,0.278,0.6759999999999999,0.0008990000000000001,9,0.136,-8.821,1,0.0371,104.545,4,0.494
19,Kryptonite,3 Doors Down,79,233933,0.006640000000000001,0.545,0.865,1.12e-05,11,0.168,-5.707999999999999,0,0.0286,99.01,4,0.5429999999999999
29,Gives You Hell,The All-American Rejects,71,213106,0.0156,0.7140000000000001,0.725,0.0,4,0.0726,-6.4110000000000005,1,0.0402,99.988,4,0.59
30,All My Life,Foo Fighters,11,262733,0.000194,0.5820000000000001,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674
33,I Hate Everything About You,Three Days Grace,75,231480,0.00461,0.498,0.83,0.0,6,0.139,-5.157,0,0.0421,89.34200000000001,4,0.45299999999999996
34,Rollin' (Air Raid Vehicle),Limp Bizkit,74,213760,0.00506,0.599,0.932,0.0,9,0.26899999999999996,-3.3280000000000003,1,0.18,96.234,4,0.6920000000000001
35,Fat Lip,Sum 41,74,178266,0.000618,0.574,0.9109999999999999,0.0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573
37,Savior,Rise Against,73,242280,0.00164,0.5489999999999999,0.93,6.670000000000001e-05,5,0.39,-3.468,0,0.0487,112.447,4,0.526
38,Bodies,Drowning Pool,74,201960,0.0034700000000000004,0.6559999999999999,0.932,0.00147,4,0.14400000000000002,-3.405,0,0.0708,130.936,4,0.544
40,Last Nite,The Strokes,70,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797
44,Wish You Were Here,Incubus,62,212733,0.0006309999999999999,0.24600000000000002,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35
46,Vertigo,U2,57,194520,0.000153,0.391,0.831,0.0019199999999999998,2,0.141,-3.892,1,0.0613,139.946,4,0.6829999999999999
47,Miss Murder,AFI,71,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725
52,I Stand Alone,Godsmack,67,246040,4.7799999999999996e-05,0.213,0.93,0.0,0,0.126,-4.478,1,0.0671,169.22099999999998,4,0.386
53,Woman,Wolfmother,63,176306,5.1e-05,0.21899999999999997,0.9520000000000001,0.0989,2,0.157,-3.6210000000000004,1,0.17600000000000002,112.88600000000001,1,0.172
56,Remedy,Seether,70,207213,0.00018,0.546,0.9590000000000001,0.00144,8,0.0584,-4.664,1,0.08199999999999999,127.831,4,0.41600000000000004
57,Plug In Baby,Muse,65,218000,6.94e-06,0.408,0.965,0.00040199999999999996,2,0.11,-4.232,1,0.05,136.018,4,0.349
120,Rock Your Body,Justin Timberlake,74,267266,0.20199999999999999,0.8909999999999999,0.7140000000000001,0.000234,4,0.0521,-6.055,0,0.14,100.97200000000001,4,0.818
122,Toxic,Britney Spears,60,198813,0.0279,0.774,0.847,0.0183,5,0.24100000000000002,-3.925,0,0.121,143.011,4,0.9229999999999999
124,Yeah!,Usher,79,250373,0.0183,0.894,0.7909999999999999,0.0,2,0.0388,-4.699,1,0.11199999999999999,105.01799999999999,4,0.583
134,Fighter,Christina Aguilera,69,245960,0.235,0.435,0.92,0.00035299999999999996,4,0.552,-1.357,0,0.201,188.899,4,0.45
135,Since U Been Gone,Kelly Clarkson,75,188960,0.00165,0.662,0.741,0.0303,0,0.114,-5.406000000000001,1,0.0334,131.0,4,0.40399999999999997
140,With You,Chris Brown,69,252160,0.14300000000000002,0.659,0.696,0.0,3,0.13,-4.291,1,0.071,86.001,4,0.665
141,Breakeven,The Script,76,261426,0.17300000000000001,0.63,0.698,0.0,10,0.0789,-4.51,1,0.0244,94.023,4,0.529
145,Let Me Love You,Mario,80,256733,0.235,0.6559999999999999,0.578,0.0,7,0.11800000000000001,-8.97,0,0.0922,94.514,4,0.556
146,Beautiful,Christina Aguilera,73,238560,0.578,0.457,0.573,3.05e-06,5,0.114,-3.866,0,0.0275,76.193,4,0.0992
150,No One,Alicia Keys,79,253813,0.03,0.649,0.552,6.47e-06,1,0.111,-5.419,0,0.0292,89.969,4,0.158
152,Womanizer,Britney Spears,76,224400,0.073,0.7240000000000001,0.695,0.0,11,0.0889,-5.226,1,0.0622,139.0,4,0.235
